Dropoff_node,Demand_time
42446013,0
42437283,2
42432142,7
42439840,16
4841945995,17
42421749,29
42445247,31
42439581,35
42432444,38
1815133244,38
42446941,39
1918039897,46
486867405,47
42453902,55
42445910,56
1692433939,56
42443680,57
42446270,59
42436947,59
42477302,61
42455915,64
42485030,71
42437346,74
42491641,79
42438784,81
42449683,85
1692433935,92
42443181,92
42436779,93
42449029,96
486867459,97
42432063,100
42443817,105
42442902,108
42453604,111
42430803,112
42434090,112
42428385,116
42427374,117
4597668028,119
42445189,121
42449938,124
42430924,130
42431168,133
42448693,134
42432464,136
42523684,137
596776164,137
5849918504,142
42457325,142
4557517555,144
42433260,146
42477907,150
42435657,151
5706569898,153
42435603,158
4461990857,166
4461990857,169
370913758,170
42430677,180
1692433932,186
42434233,189
42453442,189
42432073,190
42437333,192
42448563,193
42430265,197
42445413,198
1692433932,201
42443975,202
42442848,206
42436050,207
42443618,212
42422026,213
1773084391,216
42950612,217
42428408,218
42440343,219
42428063,221
42432085,222
42439096,223
589100164,225
42438503,233
42440323,234
4597668042,236
1918039877,236
42435642,238
42434233,241
42439280,249
42496504,249
42439533,256
42445390,257
42435642,261
42422053,262
42446552,262
42435272,271
3786901743,275
42439464,287
42454758,288
42849673,290
42427821,299
42450434,306
42519250,307
42428192,308
62915549,311
42431508,313
42432205,317
597700354,320
6223969260,327
42437654,327
42454758,330
486867490,330
42450052,331
42442870,335
42444414,339
42450071,348
42445413,349
42449947,350
1061531682,353
42875652,356
42439834,357
4597668043,358
42446363,372
42442842,375
42452353,376
42428480,376
3639382769,379
6262915548,383
42445018,384
42472987,391
42446933,392
42427426,394
42427423,395
42439392,397
42428020,406
42430669,406
42516074,416
42440545,417
42445899,417
42499361,417
4347550071,419
42455675,421
2969267799,423
42430271,424
8840333846,432
1692433938,434
42445520,439
1773084402,444
42439403,445
42428027,446
42439335,453
42437287,466
42428441,471
42499999,471
42442943,474
42427975,474
100522479,476
42431805,480
1251958257,480
42435422,485
42428303,489
42446266,494
6289180295,495
5079840929,500
42455007,501
42440737,502
42449938,504
42429806,511
42450044,512
42430903,514
42502976,515
42455181,515
7480301866,518
6781146560,518
42456066,521
42449886,525
42430796,528
42449886,537
42429644,543
42430394,548
42446275,554
42434215,554
42421889,562
42445916,563
390519635,563
42445661,564
42449982,569
42430007,574
42431524,578
42431508,581
42444812,583
387184869,584
42434807,586
42476088,591
42436753,595
42435422,602
42434959,602
42432703,609
596776057,614
42430394,615
42430295,615
42432181,616
